FoodCode	Main.food.description	ModCode
11541110	Milk shake, homemade or fountain-type, chocolate	0
11541120	Milk shake, homemade or fountain-type, flavors other than chocolate	0
11541400	Milk shake with malt	0
11541500	Milk shake, made with skim milk, chocolate	0
11541510	Milk shake, made with skim milk, flavors other than chocolate	0
11542000	Carry-out milk shake, NS as to flavor	0
11542100	Carry-out milk shake, chocolate	0
11542200	Carry-out milk shake, flavors other than chocolate	0
11551050	Milk fruit drink	0
11552200	Orange Julius	0
11553000	Fruit smoothie drink, made with fruit or fruit juice and dairy products	0
11553100	Fruit smoothie drink, NFS	0
11560000	Chocolate-flavored drink, whey- and milk-based	0
11560020	Flavored milk drink, whey- and milk-based, flavors other than chocolate	0
11561000	Cafe con leche	0
11561010	Cafe con leche prepared with sugar	0
11710000	Infant formula, NFS	0
11710050	Similac Expert Care Alimentum, infant formula, NS as to form	0
11710051	Similac Expert Care Alimentum, infant formula, ready-to-feed	0
11710053	Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS	0
11710054	Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water	0
11710055	Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water	0
11710056	Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water	0
11710350	Similac Advance, infant formula, NS as to form	0
11710351	Similac Advance, infant formula, ready-to-feed	0
11710352	Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710353	Similac Advance, infant formula, prepared from powder, made with water, NFS	0
11710354	Similac Advance, infant formula, prepared from liquid concentrate, made with tap water	0
11710355	Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710356	Similac Advance, infant formula, prepared from liquid concentrate, made with baby water	0
11710357	Similac Advance, infant formula, prepared from powder, made with tap water	0
11710358	Similac Advance, infant formula, prepared from powder, made with plain bottled water	0
11710359	Similac Advance, infant formula, prepared from powder, made with baby water	0
11710360	Similac Advance Organic, infant formula, NS as to form	0
11710361	Similac Advance Organic, infant formula, ready-to-feed	0
11710363	Similac Advance Organic, infant formula, prepared from powder, made with water, NFS	0
11710367	Similac Advance Organic, infant formula, prepared from powder, made with tap water	0
11710368	Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water	0
11710369	Similac Advance Organic, infant formula, prepared from powder, made with baby water	0
11710370	Similac Sensitive, infant formula, NS as to form	0
11710371	Similac Sensitive, infant formula, ready-to-feed	0
11710372	Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710373	Similac Sensitive, infant formula, prepared from powder, made with water, NFS	0
11710374	Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water	0
11710375	Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710376	Similac Sensitive, infant formula, prepared from liquid concentrate, made with baby water	0
11710377	Similac Sensitive, infant formula, prepared from powder, made with tap water	0
11710378	Similac Sensitive, infant formula, prepared from powder, made with plain bottled water	0
11710379	Similac Sensitive, infant formula, prepared from powder, made with baby water	0
11710380	Similac Sensitive for Spit-Up, infant formula, NS as to form	0
11710381	Similac Sensitive for Spit-Up, infant formula, ready-to-feed	0
11710383	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with water, NFS	0
11710387	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water	0
11710388	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water	0
11710389	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water	0
11710470	Similac Expert Care NeoSure, infant formula, NS as to form	0
11710471	Similac Expert Care NeoSure, infant formula, ready-to-feed	0
11710473	Similac Expert Care NeoSure, infant formula, prepared from powder, made with water, NFS	0
11710477	Similac Expert Care NeoSure, infant formula, prepared from powder, made with tap water	0
11710478	Similac Expert Care NeoSure, infant formula, prepared from powder, made with plain bottled water	0
11710479	Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water	0
11710480	Similac Go and Grow, infant formula, NS as to form	0
11710481	Similac Go and Grow, infant formula, prepared from powder, made with water, NFS	0
11710482	Similac Go and Grow, infant formula, prepared from powder, made with tap water	0
11710483	Similac Go and Grow, infant formula, prepared from powder, made with plain bottled water	0
11710484	Similac Go and Grow, infant formula, prepared from powder, made with baby water	0
11710620	Enfamil PREMIUM Newborn, infant formula, NS as to form	0
11710621	Enfamil PREMIUM Newborn, infant formula, ready-to-feed	0
11710626	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with water, NFS	0
11710627	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with tap water	0
11710628	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with plain bottled water	0
11710629	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with baby water	0
11710630	Enfamil PREMIUM Infant, infant formula, NS as to form	0
11710631	Enfamil PREMIUM Infant, infant formula, ready-to-feed	0
11710632	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710633	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with tap water	0
11710634	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710635	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with baby water	0
11710636	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with water, NFS	0
11710637	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with tap water	0
11710638	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with plain bottled water	0
11710639	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water	0
11710640	Enfamil PREMIUM LIPIL, infant formula, NS as to form	0
11710642	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710643	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710644	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water	0
11710645	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710646	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water	0
11710647	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water	0
11710648	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710649	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with baby water	0
11710650	Enfamil LIPIL, infant formula, NS as to form	0
11710651	Enfamil LIPIL, infant formula, ready-to-feed	0
11710652	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710653	Enfamil LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710654	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water	0
11710655	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710656	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water	0
11710657	Enfamil LIPIL, infant formula, prepared from powder, made with tap water	0
11710658	Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710659	Enfamil LIPIL, infant formula, prepared from powder, made with baby water	0
11710660	Enfamil A.R. Lipil, infant formula, NS as to form	0
11710661	Enfamil A.R. Lipil, infant formula, ready-to-feed	0
11710663	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710664	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with tap water	0
11710665	Enfamil EnfaCare LIPIL, infant formula, NS as to form	0
11710666	Enfamil EnfaCare LIPIL, infant formula, ready-to-feed	0
11710667	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710668	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710669	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with baby water	0
11710670	Enfamil Gentlease LIPIL, infant formula, NS as to form	0
11710671	Enfamil Gentlease LIPIL, infant formula, ready-to-feed	0
11710673	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710674	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with tap water	0
11710675	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710676	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with baby water	0
11710677	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with tap water	0
11710678	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710679	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with baby water	0
11710680	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, NS as to form	0
11710681	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, ready-to-feed	0
11710683	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710687	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with tap water	0
11710688	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710689	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with baby water	0
11710690	Enfamil Gentlease Next Step LIPIL, infant formula, NS as to form	0
11710693	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with water, NFS	0
11710697	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with tap water	0
11710698	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11710699	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with baby water	0
11710800	Pediasure, infant formula, NS as to form	0
11710801	Pediasure, infant formula, ready-to-feed	0
11710805	Pediasure Fiber, infant formula, NS as to form	0
11710806	Pediasure Fiber, infant formula, ready-to-feed	0
11710910	Gerber Good Start  Gentle Plus, infant formula, NS as to form	0
11710911	Gerber Good Start Gentle Plus, infant formula, ready-to-feed	0
11710912	Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710913	Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with water, NFS	0
11710914	Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with tap water	0
11710915	Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710916	Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with baby water	0
11710917	Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with tap water	0
11710918	Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with plain bottled water	0
11710919	Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with baby water	0
11710920	Gerber Good Start Protect Plus, infant formula, NS as to form	0
11710923	Gerber Good Start Protect Plus, infant formula, prepared from powder, made with water, NFS	0
11710927	Gerber Good Start Protect Plus, infant formula, prepared from powder, made with tap water	0
11710928	Gerber Good Start Protect Plus, infant formula, prepared from powder, made with plain bottled water	0
11710929	Gerber Good Start Protect Plus, infant formula, prepared from powder, made with baby water	0
11710930	Gerber Good Start 2 Gentle Plus, infant formula, NS as to form	0
11710933	Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with water, NFS	0
11710937	Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with tap water	0
11710938	Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with plain bottled water	0
11710939	Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with baby water	0
11710940	Gerber Good Start 2 Protect Plus, infant formula, NS as to form	0
11710943	Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with water, NFS	0
11710947	Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with tap water	0
11710948	Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with plain bottled water	0
11710949	Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with baby water	0
11710960	Americas Store Brand, infant formula, NS as to form	0
11710961	Americas Store Brand, infant formula, prepared from liquid concentrate, made with water, NFS	0
11710962	Americas Store Brand, infant formula, prepared from powder, made with water, NFS	0
11710963	Americas Store Brand, infant formula, ready-to-feed	0
11710964	Americas Store Brand, infant formula, prepared from liquid concentrate, made with tap water	0
11710965	Americas Store Brand, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11710966	Americas Store Brand, infant formula, prepared from liquid concentrate, made with baby water	0
11710967	Americas Store Brand, infant formula, prepared from powder, made with tap water	0
11710968	Americas Store Brand, infant formula, prepared from powder, made with plain bottled water	0
11710969	Americas Store Brand, infant formula, prepared from powder, made with baby water	0
11720310	Enfamil ProSobee LIPIL, infant formula, NS as to form	0
11720311	Enfamil ProSobee Lipil, infant formula, ready-to-feed	0
11720312	Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	0
11720313	Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with water, NFS	0
11720314	Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with tap water	0
11720315	Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11720316	Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with baby water	0
11720317	Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with tap water	0
11720318	Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11720319	Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with baby water	0
11720320	Enfamil Enfagrow Soy Next Step LIPIL, infant formula, NS as to form	0
11720323	Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with water, NFS	0
11720327	Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with tap water	0
11720328	Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11720329	Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with baby water	0
11720410	Similac Sensitive Isomil Soy, infant formula, NS as to form	0
11720411	Similac Sensitive Isomil Soy, infant formula, ready-to-feed	0
11720412	Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with water, NFS	0
11720413	Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with water, NFS	0
11720414	Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with tap water	0
11720415	Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11720416	Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with baby water	0
11720417	Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with tap water	0
11720418	Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with plain bottled water	0
11720419	Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with baby water	0
11720430	Similac Expert Care for Diarrhea, infant formula, NS as to form	0
11720431	Similac Expert Care for Diarrhea, infant formula, ready-to-feed	0
11720440	Similac Go and Grow Soy, infant formula, NS as to form	0
11720443	Similac Go and Grow Soy, infant formula, prepared from powder, made with water, NFS	0
11720447	Similac Go and Grow Soy, infant formula, prepared from powder, made with tap water	0
11720448	Similac Go and Grow Soy, infant formula, prepared from powder, made with plain bottled water	0
11720449	Similac Go and Grow Soy, infant formula, prepared from powder, made with baby water	0
11720610	Gerber Good Start Soy Plus, infant formula, NS as to form	0
11720611	Gerber Good Start Soy Plus, infant formula, ready-to-feed	0
11720612	Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with water, NFS	0
11720613	Gerber Good Start Soy Plus, infant formula, prepared from powder, made with water, NFS	0
11720614	Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with tap water	0
11720615	Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11720616	Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with baby water	0
11720617	Gerber Good Start Soy Plus, infant formula, prepared from powder, made with tap water	0
11720618	Gerber Good Start Soy Plus, infant formula, prepared from powder, made with plain bottled water	0
11720619	Gerber Good Start Soy Plus, infant formula, prepared from powder, made with baby water	0
11720620	Gerber Good Start 2 Soy Plus, infant formula, NS as to form	0
11720623	Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with water, NFS	0
11720627	Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with tap water	0
11720628	Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with plain bottled water	0
11720629	Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with baby water	0
11720800	Americas Store Brand Soy, infant formula, NS as to form	0
11720801	Americas Store Brand Soy, infant formula, ready-to-feed	0
11720802	Americas Store Brand Soy, infant formula, prepared from liquid concentrate, made with water, NFS	0
11720803	Americas Store Brand Soy, infant formula, prepared from powder, made with water, NFS	0
11720804	Americas Store Brand Soy, infant formula, prepared from liquid concentrate, made with tap water	0
11720805	Americas Store Brand Soy, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11720806	Americas Store Brand Soy, infant formula, prepared from liquid concentrate, made with baby water	0
11720807	Americas Store Brand Soy, infant formula, prepared from powder, made with tap water	0
11720808	Americas Store Brand Soy, infant formula, prepared from powder, made with plain bottled water	0
11720809	Americas Store Brand Soy, infant formula, prepared from powder, made with baby water	0
11740310	Enfamil Nutramigen LIPIL, infant formula, NS as to form	0
11740311	Enfamil Nutramigen LIPIL, infant formula, ready-to-feed	0
11740312	Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	0
11740313	Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with water, NFS	0
11740314	Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with tap water	0
11740315	Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	0
11740316	Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with baby water	0
11740317	Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with tap water	0
11740318	Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11740319	Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with baby water	0
11740320	Enfamil Nutramigen AA LIPIL, infant formula, NS as to form	0
11740323	Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with water, NFS	0
11740327	Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with tap water	0
11740328	Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11740329	Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with baby water	0
11740400	Enfamil Pregestimil LIPIL, infant formula, NS as to form	0
11740401	Enfamil Pregestimil LIPIL, infant formula, ready-to-feed	0
11740403	Enfamil Pregestimil LIPIL, infant formula, prepared from powder, made with water, NFS	0
11740407	Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with tap water	0
11740408	Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with plain bottled water	0
11740409	Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with baby water	0
11740510	Enfamil Premature LIPIL 20, low iron, infant formula, NS as to form	0
11740511	Enfamil Premature LIPIL 20, low iron, infant formula, ready-to-feed	0
11740520	Enfamil Premature LIPIL 20, with iron, infant formula, NS as to form	0
11740521	Enfamil Premature LIPIL 20, with iron, infant formula, ready-to-feed	0
11740540	Enfamil Premature LIPIL 24, low iron, infant formula, NS as to form	0
11740541	Enfamil Premature LIPIL 24, low iron, infant formula, ready-to-feed	0
11740550	Enfamil Premature LIPIL 24, with iron, infant formula, NS as to form	0
11740551	Enfamil Premature LIPIL 24, with iron, infant formula, ready-to-feed	0
11810000	Milk, dry, not reconstituted, NS as to whole, lowfat, or nonfat	0
11811000	Milk, dry, whole, not reconstituted	0
11812000	Milk, dry, lowfat, not reconstituted	0
11813000	Milk, dry, nonfat, not reconstituted	0
11825000	Whey, sweet, dry	0
11830100	Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted	0
11830110	Cocoa powder with nonfat dry milk and low calorie sweetener, dry mix, not reconstituted	0
11830120	Cocoa, whey, and low calorie sweetener, fortified, dry mix, not reconstituted	0
11830140	Chocolate, instant, dry mix, fortified with vitamins and minerals, not reconstituted, Puerto Rican style	0
