code	name
524	Other quick breads
53	"Cakes, cookies, pies, pastries, bars"
531	Cakes
532	Cookies
533	Pies (fruit pies; pie tarts)
534	"Cobblers, eclairs, turnovers, other pastries"
535	"Danish, breakfast pastries, doughnuts"
536	"Coffee cake, not yeast"
537	Bars
5371	"Cereal bars, granola bars"
5372	"Nutrition bars (protein, energy, meal)"
538	"Cookies and bars, baby food"
54	Crackers and salty snacks from grain
540	"Crackers, NS as to type"
541	Sweet crackers
542	Low sodium crackers
543	Nonsweet crackers
544	Salty snacks from grain products
55	"Pancakes, waffles, French toast, other"
551	Pancakes
552	Waffles
553	French toast
554	Crepes
555	Flour-water patties
556	"Flour-milk dumplings, plain"
557	Rice flour cakes
558	Funnel cakes
56	"Pastas, cooked cereals, rice"
561	Pastas
562	"Cooked cereals, rice"
57	"Cereals, not cooked or NS as to cooked"
570	"Cereal, NS as to cooked"
571	Ready-to-eat cereals
572	Ready-to-eat cereals
573	Ready-to-eat cereals
574	Ready-to-eat cereals
576	"Cereal grains, not cooked"
578	Cereals baby food
58	"Grain mixtures, frozen plate meals, soups"
581	"Mixtures, mainly grain, pasta, or bread"
582	"Mixtures, mainly grain, pasta, or bread"
583	Frozen plate meals with grain mixture as major ingredient
584	Soups with grain product as major ingredient
585	Grain mixtures baby food
59	"Meat substitutes, mainly cereal protein"
590	"Meat substitutes, mainly cereal protein"
6	Fruits
61	"Citrus fruits, juices"
611	Citrus fruits
612	Citrus fruit juices
62	Dried fruits
621	Dried fruits
63	Other fruits
631	"Fruits, excluding berries"
632	Berries
633	Mixtures of two or more fruits
634	Mixtures of fruits and nonfruit items
64	Fruit juices and nectars excluding citrus
641	"Fruit juices, excluding citrus"
642	Nectars
644	Vinegar
67	Fruits and juices baby food
671	Fruits and fruit mixtures baby food
672	Fruit juice and fruit juice mixtures baby
673	Fruits with cereal baby food
674	Fruit desserts and fruit-flavored pudding
675	Fruits with meat or poultry baby food
676	Fruits and vegetables mixtures baby food
7	Vegetables
71	White potatoes and Puerto Rican starchy vegetables
710	"White potatoes, NFS"
711	"White potatoes, baked and boiled"
712	"White potatoes, chips and sticks"
713	"White potatoes, creamed, scalloped, au gratin"
714	"White potatoes, fried"
715	"White potatoes, mashed, stuffed, puffs"
716	Potato salad
717	Potato recipes
718	Potato soups
719	Puerto Rican starchy vegetables
72	Dark-green vegetables
721	Dark-green leafy vegetables
722	Dark-green nonleafy vegetables
723	Dark-green vegetable soups
73	Deep-yellow vegetables
731	Carrots
732	Pumpkin
733	"Squash, winter"
734	Sweet potatoes
735	Deep-yellow vegetable soups
74	Tomatoes and tomato mixtures
741	"Tomatoes, raw"
742	"Tomatoes, cooked"
743	Tomato juices
744	Tomato sauces
745	Tomato mixtures
746	Tomato soups
747	Tomato sandwiches
75	Other vegetables
751	"Other vegetables, raw"
7514	Raw vegetable mixtures 
752	"Other vegetables, cooked"
753	"Other vegetable mixtures, cooked"
754	"Other cooked vegetables, cooked with sauces, batters, casseroles"
755	"Olives, pickles, relishes (excluding tomatoes)"
756	Vegetable soups
76	Vegetables and mixtures mostly vegetables baby food
761	Dark-green vegetables baby food
762	Deep-yellow vegetables
764	"Vegetables other than dark-green, deep-yellow, and tomato"
765	Vegetables with grain baby food
766	Vegetables with meat baby food
77	"Vegetables with meat, poultry, fish"
771	"White potato with meat, poultry, fish (mixtures)"
772	Puerto Rican starchy vegetable (viandas) mixtures
773	Other vegetable mixtures
775	Puerto Rican stews or soups with starchy vegetables
78	"Mixtures mostly vegetables without meat, poultry, fish"
781	"Vegetable and fruit juice blends, 100% juice"
8	"Fats, Oils, and Salad Dressings"
81	Fats
811	Table fats
812	Cooking fats
813	Other fats
82	Oils
821	Vegetable oils
83	Salad dressings
831	Regular salad dressings
832	Light salad dressings
833	Fat free salad dressings
9	"Sugars, Sweets, and Beverages"
91	Sugars and sweets
911	Sugars and sugar-sugar substitute blends
912	Sugar replacements or substitute
913	"Syrups, honey, molasses, sweet toppings"
914	"Jellies, jams, preserves"
915	Gelatin desserts or salads 
916	Ices or popsicles
917	Candies
918	Chewing gums
92	Nonalcoholic beverages
921	Coffee
922	Coffee substitutes
923	Tea
924	"Soft drinks, carbonated"
925	Fruit drinks
9251	Fruit juice drinks and fruit-flavored drinks
9253	Fruit juice drinks and fruit flavored drinks with high vitamin C
9254	"Fruit flavored drinks, made from powdered mix"
9255	"Fruit juice drinks and fruit flavored drinks, low calorie"
9258	"Fruit juice drinks and fruit flavored drinks, fortified with calcium"
926	"Beverages, nonfruit"
928	"Nonalcoholic beers, wines, cocktails"
929	"Beverage concentrates, dry, not reconstituted"
93	Alcoholic beverages
931	Beers and ales
932	Cordials and liqueurs 
933	Cocktails
934	Wines
935	Distilled liquors
94	"Water, noncarbonated"
940	"Water, not bottled"
941	"Water, bottled"
942	"Water, bottled, fortified"
943	"Water, baby food"
95	"Formulated nutrition beverages, energy drinks, sports drinks, function"
951	Nutrition drinks
952	Nutrition powders
9531	Energy drinks
9532	Sports drinks
9533	Fluid replacements
9534	Other functional beverages
