Main.food.description	X261	X262	X1571	X1572	X3241	X3242	X16971	X16972	X23381	X30341	X30671	X30672	X30791	X30792	X32061	X32062	X32831	X32981	X33191	X33192	X33982	X34491	X51271	X51272	X51722	X52131	X52471	X52472	X53002	X53821	X53822	X53861	X53862	X54551	X54552	X54631	X58961	X58962	X59471	X59472	X60461	X60462	X60511	X60512	X65442	X66761	X66762	X92291	X92292	X93962	X94531	X94532	X95501	X95502	X95672	FoodCode	ModCode	Old.Main.food.description	FoodID
Biscuitsplain	0	1	1	3	0	0	0.5	0.5	32	1	7	3	5.5	3	1	1	0.5	1	0.5	3	1	0	0.5	1	0	0	3	1	3	0	0	0.5	1	0.5	0	0	0.5	3	0	1	3	1	0	0.5	0.5	0	0	1	0	0	7	1	0.5	0	0	53241500	0	Biscuitsplain	53241500.0
BiscuitsRedFat	0	0	0	7	0	0	0	0	0	0.5	0	0	3	0	0	0	0	0	1	0	0	0.5	3	0	0	0.5	0	0	3	0	0	1	1	7	0	0	0	1	0	0.5	0	0	0.5	0	0	0	0	3	0	0	0	0	0.5	0	0	53239010	0	BiscuitsRedFat	53239010.0
BlockMarg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	81102000	0	BlockMarg	81102000.0
Boiledpotato	3	7	1	3	5.5	5.5	5.5	3	3	1	3	7	3	3	3	3	7	0	3	0	3	3	1	3	3	0	3	3	1	3	0	3	3	5.5	1	5.5	1	7	3	1	3	3	5.5	3	7	3	1	0.5	3	3	32	0.5	1	0	7	71103000	0	Boiledpotato	71103000.0
Branflakes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57207000	0	Branflakes	57207000.0
BreakfastCereal	0	0	3	7	0	0	1	0.5	7	0	0.5	0	3	7	3	0	0.5	0	0	0	3	3	3	1	0	3	3	3	0	0	0	1	0	0.5	3	0	0	0.5	0	0	5.5	5.5	0	0	0	0	0	3	0	0	0	1	7	7	0	57134000	0	BreakfastCereal	57134000.0
Broccoli	3	3	3	3	5.5	3	3	0	3	3	3	7	0.5	0.5	3	3	3	7	1	1	3	1	1	1	1	1	3	3	3	3	3	3	0	3	0.5	3	0.5	3	1	3	7	3	5.5	1	5.5	3	3	0.5	1	3	0.5	0	1	0	5.5	72201100	0	Broccoli	72201100.0
BrownBread	0	0	0	7	0	0.5	3	0.5	7	0	7	1	0	32	1	0	0.5	3	3	3	1	3	0.5	1	0	0.5	3	0.5	3	0	3	0	1	0	1	0	0	0	5.5	0	3	0.5	0.5	0.5	3	3	0.5	0.5	1	1	0	0	0.5	0	1	51201010	0	BrownBread	51201010.0
BrownRice	0	0	0.5	0	1	3	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0.5	3	0	0.5	0	0	0.5	0	0	0	0	0	0	1	0.5	0	0	0	1	0	0	0.5	0	1	1	3	3	0.5	3	0	0	0	0	0	1	0	0	56205018	0	BrownRice	56205018.0
BrusselsSprouts	1	3	1	0.5	3	3	0.5	0	1	3	0.5	3	3	0.5	1	0.5	0	0.5	0	0	0	1	0	1	0.5	0.5	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	3	0.5	3	0	3	1	1	0.5	0	0.5	1	0	0.5	0	5.5	75209000	0	BrusselsSprouts	75209000.0
Bunshome	0.5	0	3	0	0.5	0	1	0.5	0	0.5	1	0	0	0	0	0	0	0.5	0.5	1	0	0	0.5	1	0	0	0	0.5	0	1	1	0	0	0.5	0	0.5	0	0	0	1	0.5	0	3	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	53520000	0	Bunshome	53520000.0
Bunsready	0.5	0	0	3	0	0	1	0	3	0.5	0	0.5	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0	0	0.5	0	0	1	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0.5	1	0.5	0	53520000	0	Bunsready	53520000.0
Butter	0	0	0.5	1	3	3	5.5	18	7	0	0.5	0	0	18	0.5	3	3	0	0.5	0	0.5	0	5.5	1	3	3	1	3	0	18	0	0	0	7	0	0.5	1	5.5	1	0.5	3	0.5	0	7	3	5.5	0	0.5	3	0.5	0	3	3	0	18	81100500	0	Butter	81100500.0
Cabbage	0.5	0.5	0.5	0.5	3	3	1	0	1	3	0.5	1	3	1	1	0.5	0.5	0.5	0.5	1	1	0	0	1	3	0.5	0.5	1	0.5	0.5	0.5	0	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	1	0.5	1	0.5	1	0.5	0.5	0.5	1	0	0.5	0	5.5	75103000	0	Cabbage	75103000.0
Cakeshome	0	7	0.5	0	1	0	1	0.5	0	0.5	7	0.5	0	0.5	0	0	0	1	1	3	0	0	0.5	0	0	0	5.5	3	0.5	1	3	0	0	0.5	0	0	0.5	0	0.5	1	0.5	3	0	0.5	0	0	0	0.5	0	0.5	0	3	0.5	0	0	53100100	0	Cakeshome	53100100.0
Cakesready	0.5	0	0.5	0.5	0	0	1	0	1	0.5	3	0	0.5	0.5	0	0	0	0.5	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0	1	0	0.5	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0.5	0	0.5	1	3	1	0.5	1	53100100	0	Cakesready	53100100.0
Carrots	0.5	3	3	3	7	3	3	0	3	3	3	7	0	0	3	1	3	3	3	3	1	1	3	3	0.5	1	3	7	3	7	5.5	3	0.5	3	0.5	7	3	3	3	0	7	3	5.5	1	5.5	3	3	1	1	3	3	5.5	1	0.5	5.5	73101010	0	Carrots	73101010.0
Cauliflower	0.5	1	1	1	3	0.5	3	0	1	3	0	1	1	0.5	0.5	0.5	1	0.5	1	1	1	0	1	1	0.5	0.5	0.5	0	0.5	3	1	3	0	1	0.5	0.5	0	3	0	0.5	0	3	1	0.5	5.5	3	1	1	0.5	1	1	0	0.5	0	1	75107000	0	Cauliflower	75107000.0
CerealBars	0	0	3	3	0	0.5	0	0.5	0	1	0.5	0	3	0	0	0	0	0	0	7	0	0	0.5	0	3	0.5	0	0	0	0	3	0	5.5	0	0	0	0.5	1	0	1	0	0	0	0	0	0.5	0.5	3	0	0	0	0	0.5	0	0	53712100	0	CerealBars	53712100.0
ChannelIslandMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12110100	0	ChannelIslandMilk	12110100.0
Cheerios	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57123000	0	Cheerios	57123000.0
Chips	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71401000	0	Chips	71401000.0
ChipsRoastPots	1	0	1	1	0.5	1	3	1	1	1	1	0.5	3	3	1	0.5	1	0	0.5	0	3	1	0.5	1	0.5	0.5	3	1	1	1	3	1	1	3	0.5	0	0.5	3	0	0	1	3	3	1	1	0	0	0	1	3	1	0.5	1	0.5	3	71104000	0	ChipsRoastPots	71104000.0
Chocolatebar	0	0	0.5	1	0	0	0.5	0	3	1	1	0	1	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	5.5	0	0.5	0	0	0.5	0	0.5	0	0	0	3	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	1	0	0.5	1	3	0	91726410	0	Chocolatebar	91726410.0
Chocolates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91705010	0	Chocolates	91705010.0
ChocsDark	18	5.5	0.5	0.5	3	0.5	0	0	0.5	1	3	0	0	3	0	0	0	0	0	3	1	0.5	0	1	7	3	0	0	1	7	0	3	1	0.5	0	0.5	5.5	0	0.5	1	0.5	0	0	0.5	0	0.5	0.5	1	0.5	0.5	0	0	0.5	0	0	91705300	0	ChocsDark	91705300.0
ChocsMilk	0	0	0	0.5	0	0	3	3	7	1	3	0	0	0	0.5	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0	0	1	0	0	3	0	0.5	0	0	18	3	0.5	1	0.5	0.5	5.5	0.5	0.5	0	0	1	0	0.5	0	0	1	3	1	91705010	0	ChocsMilk	91705010.0
CholLowerSpread	0	0	0	0	0	0	0.5	0	0	0	7	0	0	0	0	0	0	0	32	0	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0.5	0	0	0	1	0	0	0	0	0	0	0	0	81105500	0	CholLowerSpread	81105500.0
Cocoa	0	0	0	0.5	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	1	0	0	0.5	0	0	0	0	7	0	0	1	0	0	0.5	0	0	0	0.5	0	0	0	0	1	0.5	0	11512000	0	Cocoa	11512000.0
CoconutMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42401010	0	CoconutMilk	42401010.0
CocoPops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57128000	0	CocoPops	57128000.0
Coffee	3	18	0	0	3	18	7	1	18	7	32	0	3	7	0.5	0	7	1	7	3	32	0	32	0	18	0	7	7	18	18	0	0.5	0	0	18	0.5	32	18	5.5	0	18	0	0	18	3	18	32	18	18	18	0	0	1	0	0	92101610	0	Coffee	92101610.0
CoffeeDecaffeinated	7	0	7	0.5	18	0.5	7	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0.5	0	42	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0.5	0	0.5	0	3	0	0	0	0	0	1	0	1	92101630	0	CoffeeDecaffeinated	92101630.0
CoffeeWhitener	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	12120100	0	CoffeeWhitener	12120100.0
Coleslaw	0	0	3	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0.5	0	0.5	0.5	0	1	0	0	0	0.5	0	3	0	0.5	0.5	0	1	1	0	1	0	0	1	1	0	0.5	0.5	0	0.5	0	5.5	0	0	0.5	0	3	0.5	0	3	0	0	75141000	0	Coleslaw	75141000.0
Cornflakes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57134000	0	Cornflakes	57134000.0
CreamCrackers	1	0	1	1	0.5	0	0.5	1	0	0	7	0.5	0	0.5	0.5	0	1	0	0.5	1	0	0	1	1	0.5	0.5	0	3	0.5	0	0	3	0.5	0.5	0.5	0	5.5	1	0	1	0.5	1	3	0.5	0.5	0.5	3	3	0	0	0.5	3	3	0	0	54202010	0	CreamCrackers	54202010.0
Crispbread	0	0	0	0	18	0	0	1	0	3	0.5	3	0	0.5	0	0.5	3	3	0	0	1	0.5	0	0	0	0.5	0	5.5	5.5	0	0	3	0.5	0.5	0.5	3	0	0.5	0	0.5	0.5	0.5	5.5	0	0.5	1	0.5	0.5	1	0	0	0	3	0	7	54207010	0	Crispbread	54207010.0
Crisps	0	0	0.5	0	0	0.5	1	1	0.5	0	7	0.5	3	3	0.5	0.5	3	1	0	0	1	3	1	0	0	0.5	0.5	0	0.5	0	1	3	0	0	0	0	1	3	0	0	0.5	0	1	0.5	5.5	0	0	1	1	0.5	3	0	0.5	0	0	71201015	0	Crisps	71201015.0
CrunchynutCornflakes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57125900	0	CrunchynutCornflakes	57125900.0
Dairycheese	3	1	0	1	1	1	1	1	1	1	7	0.5	3	3	3	3	1	5.5	0.5	3	3	0.5	3	3	1	1	3	3	1	3	1	1	0.5	7	0.5	5.5	1	3	1	1	0.5	1	0.5	0	1	5.5	3	0.5	3	3	0	0	1	0	0.5	14010000	0	Dairycheese	14010000.0
DairyCottageCheese	0	0	1	3	0.5	0.5	0	0	1	1	0	0	0	0	0.5	0.5	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0.5	0	0	0	0	0	0	3	0	0	0	0	0	0.5	0	3	0.5	0.5	0	0	0	0.5	0	0.5	14200100	0	DairyCottageCheese	14200100.0
DairyDesserts	0	0	0.5	3	0	0	0	0	1	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	13250000	0	DairyDesserts	13250000.0
Dairydouble	0	0	0	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	7	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0.5	12130200	0	Dairydouble	12130200.0
DairyFFYog	18	0	0	0	1	0.5	0	1	0	0	1	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0	5.5	1	0	0.5	3	3	0	7	7	3	5.5	0	3	0	1	0	0	0	0	0	0	0	1	0.5	0.5	3	0	0.5	1	0	0.5	0	0	11411100	0	DairyFFYog	11411100.0
DairyLFcheese	0	0	1	0	0	0	0	1	0.5	1	0.5	0	0	0	0	0	0	0	3	0	0.5	0.5	0	0	0	0	0	0	3	0	0	1	0	7	0	0	0	0.5	0	1	0	0	0.5	0	0	0.5	3	0	0	0	3	0	0	0	0.5	14104115	0	DairyLFcheese	14104115.0
DairyLFYog	3	7	3	7	3	0.5	0	7	3	7	3	0	0	0.5	3	3	7	7	0.5	3	5.5	0	1	1	18	3	0	3	7	0	7	3	0	0	7	7	3	3	0.5	5.5	3	0	0.5	0	1	5.5	0	3	0.5	1	0	3	0.5	0.5	3	11411200	0	DairyLFYog	11411200.0
Dairysingle	0	0	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0	18	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	1	0.5	0	0	0	0.5	0.5	0	12310100	0	Dairysingle	12310100.0
Dietfizzy	0	0	0	0	0	0	0	0	0	0	0	0	5.5	5.5	0	0	0	0.5	7	0	0	3	0	1	3	0	5.5	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0.5	0	0	92400100	0	Dietfizzy	92400100.0
DriedFruit	7	0.5	3	0	3	5.5	1	0.5	7	1	1	7	3	3	0	0	7	0.5	1	0.5	0	0	3	7	0	7	0	3	0	0	0	1	0.5	0.5	0	3	0.5	0	7	0	3	7	3	0	0	18	3	1	1	0	0.5	0	3	0	0	62101000	0	DriedFruit	62101000.0
DriedLentils	1	0	0.5	0	3	0	0	0	0	0	1	0.5	0	0	5.5	0	1	0.5	0.5	1	3	0	0.5	0	0	0	0	0.5	0	0	1	0.5	0	3	0	3	0.5	0.5	0.5	0	0	0	3	7	0	3	3	0.5	0.5	3	1	0	0.5	0	3	41101000	0	DriedLentils	41101000.0
DriedMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11120000	0	DriedMilk	11120000.0
Eggs	3	3	0	1	1	0.5	1	1	1	1	1	0.5	3	3	3	3	0.5	1	0	3	5.5	3	3	1	7	1	3	3	3	7	3	3	0	3	0	0.5	3	3	0	0.5	0	1	0.5	1	0.5	0	5.5	1	0.5	3	1	0.5	0.5	0	3	31102000	0	Eggs	31102000.0
EvaporatedMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11210050	0	EvaporatedMilk	11210050.0
FizzySoftDrinks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	92400000	0	FizzySoftDrinks	92400000.0
FloraMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11112120	0	FloraMilk	11112120.0
FrenchDressing	0	3	0	0	1	3	0	0	0	0.5	1	0	0	0.5	0	0	0	0	0	0	0	0.5	1	0.5	0	3	0	0	1	0	0.5	0	0	1	0	7	1	0	0	0	0	0	0.5	0.5	0	0.5	3	3	0.5	3	0	0	0.5	0	0	83104000	0	FrenchDressing	83104000.0
Frosties	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	57348000	0	Frosties	57348000.0
FruitnFibre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57219000	0	FruitnFibre	57219000.0
Fruitpiehome	0.5	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0	0	3	0.5	1	0.5	0	0	0.5	0	0	0.5	0	0.5	0.5	0.5	1	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	53300100	0	Fruitpiehome	53300100.0
Fruitpiesready	0	0	0	0.5	0	0	0.5	0	1	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	1	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0.5	53300100	0	Fruitpiesready	53300100.0
FruitSquash	0	0	0	7	0	1	0	0	0	0	1	0	0	0.5	1	3	0	0	7	3	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	18	0	0.5	0	0	0	0	3	0	0	1	0	0	0	0	3	18	0	92511010	0	FruitSquash	92511010.0
FruitTea	18	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	1	0	0	3	3	3	32	0	0	0	0	0	0	32	0	0	0	18	0	0	5.5	0	0	0.5	0	0	0.5	1	0	0	0	0	0	3	0	0	92306000	0	FruitTea	92306000.0
FullMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11111000	0	FullMilk	11111000.0
Garlic	1	0.5	0.5	0.5	3	3	0.5	0.5	0	3	3	0.5	0.5	3	0.5	1	0.5	0	1	0.5	5.5	0.5	0.5	1	1	0	3	1	1	0	0	0.5	0	1	0.5	5.5	1	0	0	0	0	1	1	1	5.5	3	5.5	1	3	5.5	0	0.5	0.5	0	0	75111500	0	Garlic	75111500.0
GoatsMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11116000	0	GoatsMilk	11116000.0
Grapefruit	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0.5	0	0	0	0	0	0	3	0	0	0	0.5	1	0	3	0	0	0	0	0	0.5	0	0	5.5	0	0.5	0	0	0	0	0.5	0	0	61101010	0	Grapefruit	61101010.0
Grapenuts	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57230000	0	Grapenuts	57230000.0
Grapes	1	0	7	0	0.5	0.5	0	0.5	7	3	7	7	0	0	1	0.5	0	0.5	0.5	3	1	3	3	7	3	3	5.5	7	3	0	0.5	1	0	5.5	0	0	7	3	1	0.5	0.5	0.5	1	3	5.5	3	3	5.5	0.5	0.5	1	0	3	0.5	0	63123000	0	Grapes	63123000.0
GreenBeans	1	3	3	3	3	3	3	1	1	3	1	1	3	1	5.5	1	1	0.5	3	0.5	1	0.5	1	1	1	0	1	3	5.5	1	1	3	0	0.5	0.5	0.5	3	0.5	1	1	3	3	0.5	0.5	1	0	3	1	3	1	1	0	0.5	0	5.5	75204980	0	GreenBeans	75204980.0
GreenSalad	3	3	3	1	1	3	1	3	0.5	1	3	3	3	1	1	1	3	3	1	5.5	7	3	3	3	7	3	3	3	7	3	3	1	7	0	0	7	7	1	0	0.5	5.5	3	3	0.5	5.5	5.5	5.5	3	3	5.5	3	0.5	1	0.5	1	75113000	0	GreenSalad	75113000.0
GreenTea	18	0	0	0	5.5	0.5	0	0	0	0	1	0	0.5	0.5	0	0	0	0	7	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	92302500	0	GreenTea	92302500.0
HighFibreCereal	0	0	0	3	0	7	0	0	0	0.5	1	0	0.5	7	0	3	0	0	3	0	0	0.5	3	7	0	0	0	1	7	0	0	1	0	0	1	0	7	0	5.5	0	5.5	3	0	0	0	0	0	3	0	0	0	0	0.5	0	0	57101000	0	HighFibreCereal	57101000.0
