Food.code	Main.food.description	Old.Main.food.description	FoodID
11513393	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_low_fat_milk_1	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_low_fat_milk_1	11513393.
11513394	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_fat_free_milk_skim	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_fat_free_milk_skim	11513394.
11513395	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_nondairy_milk	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_nondairy_milk	11513395.
11513400	Chocolate_milk_made_from_syrup_NS_as_to_type_of_milk	Chocolate_milk_made_from_syrup_NS_as_to_type_of_milk	11513400.
11513500	Chocolate_milk_made_from_syrup_with_whole_milk	Chocolate_milk_made_from_syrup_with_whole_milk	11513500.
11513550	Chocolate_milk_made_from_syrup_with_reduced_fat_milk_2	Chocolate_milk_made_from_syrup_with_reduced_fat_milk_2	11513550.
11513600	Chocolate_milk_made_from_syrup_with_low_fat_milk_1	Chocolate_milk_made_from_syrup_with_low_fat_milk_1	11513600.
11513700	Chocolate_milk_made_from_syrup_with_fat_free_milk_skim	Chocolate_milk_made_from_syrup_with_fat_free_milk_skim	11513700.
11513750	Chocolate_milk_made_from_syrup_with_nondairy_milk	Chocolate_milk_made_from_syrup_with_nondairy_milk	11513750.
11513800	Chocolate_milk_made_from_light_syrup_NS_as_to_type_of_milk	Chocolate_milk_made_from_light_syrup_NS_as_to_type_of_milk	11513800.
11513801	Chocolate_milk_made_from_light_syrup_with_whole_milk	Chocolate_milk_made_from_light_syrup_with_whole_milk	11513801.
11513802	Chocolate_milk_made_from_light_syrup_with_reduced_fat_milk_2	Chocolate_milk_made_from_light_syrup_with_reduced_fat_milk_2	11513802.
11513803	Chocolate_milk_made_from_light_syrup_with_low_fat_milk_1	Chocolate_milk_made_from_light_syrup_with_low_fat_milk_1	11513803.
11513804	Chocolate_milk_made_from_light_syrup_with_fat_free_milk_skim	Chocolate_milk_made_from_light_syrup_with_fat_free_milk_skim	11513804.
11513805	Chocolate_milk_made_from_light_syrup_with_nondairy_milk	Chocolate_milk_made_from_light_syrup_with_nondairy_milk	11513805.
11513850	Chocolate_milk_made_from_sugar_free_syrup_NS_as_to_type_of_milk	Chocolate_milk_made_from_sugar_free_syrup_NS_as_to_type_of_milk	11513850.
11513851	Chocolate_milk_made_from_sugar_free_syrup_with_whole_milk	Chocolate_milk_made_from_sugar_free_syrup_with_whole_milk	11513851.
11513852	Chocolate_milk_made_from_sugar_free_syrup_with_reduced_fat_milk_2	Chocolate_milk_made_from_sugar_free_syrup_with_reduced_fat_milk_2	11513852.
11513853	Chocolate_milk_made_from_sugar_free_syrup_with_low_fat_milk_1	Chocolate_milk_made_from_sugar_free_syrup_with_low_fat_milk_1	11513853.
11513854	Chocolate_milk_made_from_sugar_free_syrup_with_fat_free_milk_skim	Chocolate_milk_made_from_sugar_free_syrup_with_fat_free_milk_skim	11513854.
11513855	Chocolate_milk_made_from_sugar_free_syrup_with_nondairy_milk	Chocolate_milk_made_from_sugar_free_syrup_with_nondairy_milk	11513855.
11514100	Hot_chocolate_Cocoa_made_with_dry_mix_and_water	Hot_chocolate__Cocoa_made_with_dry_mix_and_water	11514100.
11514110	Hot_chocolate_Cocoa_made_with_dry_mix_and_whole_milk	Hot_chocolate__Cocoa_made_with_dry_mix_and_whole_milk	11514110.
11514120	Hot_chocolate_Cocoa_made_with_dry_mix_and_reduced_fat_milk_2	Hot_chocolate__Cocoa_made_with_dry_mix_and_reduced_fat_milk_2	11514120.
11514130	Hot_chocolate_Cocoa_made_with_dry_mix_and_low_fat_milk_1	Hot_chocolate__Cocoa_made_with_dry_mix_and_low_fat_milk_1	11514130.
11514140	Hot_chocolate_Cocoa_made_with_dry_mix_and_fat_free_milk_skim	Hot_chocolate__Cocoa_made_with_dry_mix_and_fat_free_milk_skim	11514140.
11514150	Hot_chocolate_Cocoa_made_with_dry_mix_and_nondairy_milk	Hot_chocolate__Cocoa_made_with_dry_mix_and_nondairy_milk	11514150.
11514310	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_water	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_water	11514310.
11514320	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_whole_milk	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_whole_milk	11514320.
11514330	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_reduced_fat_milk_2	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_reduced_fat_milk_2	11514330.
11514340	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_low_fat_milk_1	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_low_fat_milk_1	11514340.
11514350	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_fat_free_milk_skim	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_fat_free_milk_skim	11514350.
11514360	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_nondairy_milk	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_nondairy_milk	11514360.
11519040	Strawberry_milk_NFS	Strawberry_milk_NFS	11519040.
11519050	Strawberry_milk_whole	Strawberry_milk_whole	11519050.
11519105	Strawberry_milk_reduced_fat_2	Strawberry_milk_reduced_fat_2	11519105.
11519200	Strawberry_milk_low_fat_1	Strawberry_milk_low_fat_1	11519200.
11519205	Strawberry_milk_fat_free_skim	Strawberry_milk_fat_free_skim	11519205.
11519215	Strawberry_milk_nondairy	Strawberry_milk_nondairy	11519215.
11525000	Milk_malted_natural_flavor_made_with_milk	Milk_malted_natural_flavor_made_with_milk	11525000.
11526000	Milk_malted_chocolate_made_with_milk	Milk_malted_chocolate_made_with_milk	11526000.
11531000	Eggnog_regular	Eggnog_regular	11531000.
11531500	Eggnog_lowfat_light	Eggnog_lowfat__light	11531500.
11541110	Milk_shake_home_recipe_chocolate	Milk_shake_home_recipe_chocolate	11541110.
11541120	Milk_shake_home_recipe_flavors_other_than_chocolate	Milk_shake_home_recipe_flavors_other_than_chocolate	11541120.
11541130	Milk_shake_home_recipe_chocolate_light	Milk_shake_home_recipe_chocolate_light	11541130.
11541135	Milk_shake_home_recipe_flavors_other_than_chocolate_light	Milk_shake_home_recipe_flavors_other_than_chocolate_light	11541135.
11541400	Milk_shake_with_malt	Milk_shake_with_malt	11541400.
11542100	Milk_shake_fast_food_chocolate	Milk_shake_fast_food_chocolate	11542100.
11542200	Milk_shake_fast_food_flavors_other_than_chocolate	Milk_shake_fast_food_flavors_other_than_chocolate	11542200.
11543000	Milk_shake_bottled_chocolate	Milk_shake_bottled_chocolate	11543000.
11543010	Milk_shake_bottled_flavors_other_than_chocolate	Milk_shake_bottled_flavors_other_than_chocolate	11543010.
11551050	Licuado_Batido_milk_fruit_drink	Licuado__Batido_milk_fruit_drink	11551050.
11553100	Fruit_smoothie_NFS	Fruit_smoothie_NFS	11553100.
11553110	Fruit_smoothie_with_whole_fruit_and_dairy	Fruit_smoothie_with_whole_fruit_and_dairy	11553110.
11553120	Fruit_smoothie_with_whole_fruit_and_dairy_added_protein	Fruit_smoothie_with_whole_fruit_and_dairy_added_protein	11553120.
11553130	Fruit_smoothie_juice_drink_with_dairy	Fruit_smoothie_juice_drink_with_dairy	11553130.
11560000	Yoohoo_chocolate_milk_drink	Yoohoo_chocolate_milk_drink	11560000.
11710000	Infant_formula_NFS	Infant_formula_NFS	11710000.
11710050	Similac_Expert_Care_Alimentum_infant_formula_NS_as_to_form	Similac_Expert_Care_Alimentum_infant_formula_NS_as_to_form	11710050.
11710051	Similac_Expert_Care_Alimentum_infant_formula_readytofeed	Similac_Expert_Care_Alimentum_infant_formula_readytofeed	11710051.
11710053	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_water_NFS	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_water_NFS	11710053.
11710054	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_tap_water	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_tap_water	11710054.
11710055	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_plain_bottled_water	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_plain_bottled_water	11710055.
11710056	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_baby_water	Similac_Expert_Care_Alimentum_infant_formula_prepared_from_powder_made_with_baby_water	11710056.
11710350	Similac_Advance_infant_formula_NS_as_to_form	Similac_Advance_infant_formula_NS_as_to_form	11710350.
11710351	Similac_Advance_infant_formula_readytofeed	Similac_Advance_infant_formula_readytofeed	11710351.
11710352	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_water_NFS	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_water_NFS	11710352.
11710353	Similac_Advance_infant_formula_prepared_from_powder_made_with_water_NFS	Similac_Advance_infant_formula_prepared_from_powder_made_with_water_NFS	11710353.
11710354	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_tap_water	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_tap_water	11710354.
11710355	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_plain_bottled_water	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_plain_bottled_water	11710355.
11710356	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_baby_water	Similac_Advance_infant_formula_prepared_from_liquid_concentrate_made_with_baby_water	11710356.
11710357	Similac_Advance_infant_formula_prepared_from_powder_made_with_tap_water	Similac_Advance_infant_formula_prepared_from_powder_made_with_tap_water	11710357.
11710358	Similac_Advance_infant_formula_prepared_from_powder_made_with_plain_bottled_water	Similac_Advance_infant_formula_prepared_from_powder_made_with_plain_bottled_water	11710358.
11710359	Similac_Advance_infant_formula_prepared_from_powder_made_with_baby_water	Similac_Advance_infant_formula_prepared_from_powder_made_with_baby_water	11710359.
11710360	Similac_Advance_Organic_infant_formula_NS_as_to_form	Similac_Advance_Organic_infant_formula_NS_as_to_form	11710360.
11710361	Similac_Advance_Organic_infant_formula_readytofeed	Similac_Advance_Organic_infant_formula_readytofeed	11710361.
11710363	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_water_NFS	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_water_NFS	11710363.
11710367	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_tap_water	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_tap_water	11710367.
11710368	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_plain_bottled_water	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_plain_bottled_water	11710368.
11710369	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_baby_water	Similac_Advance_Organic_infant_formula_prepared_from_powder_made_with_baby_water	11710369.
11710370	Similac_Sensitive_infant_formula_NS_as_to_form	Similac_Sensitive_infant_formula_NS_as_to_form	11710370.
11710371	Similac_Sensitive_infant_formula_readytofeed	Similac_Sensitive_infant_formula_readytofeed	11710371.
11710372	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_water_NFS	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_water_NFS	11710372.
11710373	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_water_NFS	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_water_NFS	11710373.
11710374	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_tap_water	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_tap_water	11710374.
11710375	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_plain_bottled_water	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_plain_bottled_water	11710375.
11710376	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_baby_water	Similac_Sensitive_infant_formula_prepared_from_liquid_concentrate_made_with_baby_water	11710376.
11710377	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_tap_water	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_tap_water	11710377.
11710378	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_plain_bottled_water	Similac_Sensitive_infant_formula_prepared_from_powder_made_with_plain_bottled_water	11710378.
