seqn	sddsrvyr	ridstatr	riagendr	ridageyr	ridagemn	ridreth1	ridreth3	ridexmon	ridexagy	ridexagm	dmqmiliz	dmqadfc	dmdborn4	dmdcitzn	dmdyrsus	dmdeduc3	dmdeduc2	dmdmartl	ridexprg	sialang	siaproxy	siaintrp	fialang	fiaproxy	fiaintrp	mialang	miaproxy	miaintrp	aialanga	wtint2yr	wtmec2yr	sdmvpsu	sdmvstra	indhhin2	indfmin2	indfmpir	dmdhhsiz	dmdfmsiz	dmdhhsza	dmdhhszb	dmdhhsze	dmdhrgnd	dmdhrage	dmdhrbr4	dmdhredu	dmdhrmar	dmdhsedu
62288	7	2	1	29	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	22634.531479	23281.741513	1	103	9	6	2.24	3	1	0	0	0	1	27	1	5	5	NA
62289	7	2	1	71	NA	5	7	1	NA	NA	2	NA	1	1	NA	NA	2	3	NA	1	2	2	1	2	2	1	2	2	NA	13555.672819	15969.746949	1	94	3	3	1.07	1	1	0	0	1	1	71	1	2	3	NA
62291	7	2	1	56	NA	5	7	1	NA	NA	1	1	2	1	8	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	20111.196953	20038.543847	1	92	14	14	5	2	2	0	0	0	1	56	2	4	1	4
62293	7	2	1	67	NA	3	3	2	NA	NA	1	1	2	1	9	NA	4	3	NA	1	2	2	1	2	2	1	2	2	NA	28478.57859	28745.66908	1	101	3	3	1.16	1	1	0	0	1	1	67	2	4	3	NA
62295	7	2	2	69	NA	2	2	2	NA	NA	2	NA	2	1	9	NA	2	2	NA	1	2	2	1	2	2	1	2	2	1	9716.805546	12994.252166	2	90	2	2	0.79	1	1	0	0	1	2	69	2	2	2	NA
62296	7	2	1	19	NA	4	4	2	19	232	2	NA	1	1	NA	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	13251.602554	13277.802057	1	96	15	15	5	2	2	0	0	0	2	51	1	5	5	NA
62297	7	2	1	43	NA	4	4	2	NA	NA	1	1	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	18402.969014	18977.095614	2	95	10	10	3.67	3	3	0	1	0	1	43	1	4	1	4
62301	7	2	1	23	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	2	5	NA	1	2	2	1	2	2	1	2	2	1	16995.648055	16907.09145	1	96	12	12	NA	7	7	1	0	1	2	59	1	3	1	1
62302	7	2	2	51	NA	2	2	1	NA	NA	2	NA	2	2	6	NA	1	5	NA	2	2	2	1	2	2	2	2	2	2	19676.781212	20033.616894	2	103	77	77	NA	4	4	0	0	0	2	46	2	1	4	NA
62303	7	2	2	76	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	61501.13451	65355.920739	2	101	6	6	1.62	3	3	0	0	2	1	80	1	3	1	3
62307	7	2	1	61	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	7828.117773	8460.915547	2	90	4	4	1.2	2	2	0	0	2	2	80	1	3	2	NA
62308	7	2	2	78	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	83112.549416	87237.362828	1	97	7	7	2.64	2	2	0	0	2	1	79	1	4	1	3
62309	7	2	2	47	NA	1	1	1	NA	NA	2	NA	2	2	3	NA	2	2	NA	2	2	2	2	2	2	2	2	2	2	40337.933888	40548.292782	3	92	4	4	0.46	7	7	1	2	0	2	31	2	2	1	1
62311	7	2	1	18	NA	3	3	2	19	228	2	NA	1	1	NA	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	68148.957861	67253.324127	1	93	15	15	3.92	5	5	0	1	0	2	54	1	5	1	5
62312	7	2	2	63	NA	1	1	1	NA	NA	2	NA	2	2	7	NA	1	1	NA	2	2	1	1	2	2	1	2	2	2	16352.915834	17178.789759	3	92	8	8	1.85	5	5	1	0	2	1	66	2	1	1	1
62314	7	2	1	61	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	7611.107768	7639.752345	2	97	3	3	1.33	1	1	0	0	1	1	61	1	3	5	NA
62315	7	2	2	80	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	2	2	NA	1	2	2	1	2	2	1	2	2	NA	12842.559946	13803.13967	2	95	99	99	NA	2	2	0	1	1	2	80	1	2	2	NA
62317	7	2	1	46	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	18872.772727	18824.29246	1	94	7	7	0.94	7	7	1	4	0	2	46	2	5	1	5
62320	7	2	2	64	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	122483.259869	124909.680309	3	91	7	7	2.89	2	2	0	0	2	2	64	1	4	1	4
62324	7	2	2	60	NA	1	1	2	NA	NA	2	NA	2	2	77	NA	4	4	NA	2	2	2	1	2	2	1	2	2	2	11469.456138	12167.81965	1	90	3	3	0.23	7	7	3	1	1	2	35	2	2	5	NA
62325	7	2	2	43	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	6	2	1	2	2	1	2	2	1	2	2	1	30932.175051	32888.281888	2	101	1	1	0.1	2	2	0	0	0	1	56	1	3	6	NA
62326	7	2	1	69	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	153565.050575	157855.235487	1	97	10	10	4.3	2	2	0	0	1	2	56	1	5	1	5
62327	7	2	2	19	NA	4	4	2	19	238	2	NA	1	1	NA	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	12209.74498	12386.615954	2	90	6	6	1.12	4	4	0	1	1	1	63	2	1	1	1
62330	7	2	2	33	NA	5	6	1	NA	NA	2	NA	2	2	3	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	21097.664283	22267.583876	2	96	14	14	5	2	2	0	0	0	2	33	2	5	1	5
62333	7	2	2	45	NA	5	6	1	NA	NA	2	NA	2	1	6	NA	3	1	NA	1	2	1	1	2	1	NA	NA	NA	NA	13046.228603	13115.21631	2	92	12	77	NA	7	2	0	0	2	1	53	2	3	1	3
62336	7	2	1	55	NA	2	2	1	NA	NA	2	NA	2	1	7	NA	4	6	NA	2	2	2	2	2	2	2	2	2	2	24211.824535	24947.165851	2	93	10	10	3.67	3	3	0	0	0	2	56	2	4	6	NA
62339	7	2	1	29	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	71402.235366	74200.659205	2	100	15	15	5	4	4	1	1	0	1	29	1	4	1	4
62340	7	2	1	44	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	126789.52929	130826.463813	1	101	6	6	1.28	4	4	2	0	0	1	44	1	4	1	4
62342	7	2	2	38	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	77778.949308	78565.115731	1	101	8	8	1.85	5	5	0	3	0	1	41	1	3	1	4
62343	7	2	1	28	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	17420.978407	17615.311737	2	97	5	5	0.76	5	5	0	0	0	2	50	1	4	5	NA
62346	7	2	1	19	NA	5	7	1	19	239	2	NA	2	2	4	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	6558.308393	6849.983523	2	92	99	1	0.22	4	1	0	0	0	1	19	1	4	NA	NA
62347	7	2	2	71	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	25812.913537	27430.822937	2	95	3	3	1.21	1	1	0	0	1	2	71	1	3	2	NA
62349	7	2	2	23	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	122473.120523	125156.324631	3	91	8	5	1.5	3	2	0	0	0	1	23	1	4	1	4
62350	7	2	2	43	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	3	2	1	2	2	1	2	2	1	2	2	1	96255.674553	99423.043377	2	94	7	7	2.72	2	2	0	1	0	2	43	1	3	3	NA
62353	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	39587.338944	43437.954199	2	91	15	15	5	2	2	0	0	2	2	79	1	5	1	5
62357	7	2	1	36	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	94433.586146	101591.315487	1	91	15	15	5	3	3	1	0	0	1	36	1	4	1	5
62359	7	2	2	54	NA	1	1	2	NA	NA	2	NA	2	2	3	NA	1	1	NA	2	2	2	2	2	2	2	2	2	2	22224.73066	23825.197607	2	94	7	7	1.04	7	7	0	3	0	1	37	2	1	1	3
62363	7	2	2	44	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	2	3	2	1	2	2	1	2	2	1	2	2	1	134897.594057	143557.343892	2	102	6	6	1.43	4	4	0	1	1	1	67	NA	NA	1	NA
62366	7	2	1	80	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	37318.801462	40047.525745	1	98	6	6	1.65	2	2	0	0	2	1	80	1	3	1	3
62368	7	2	2	80	NA	2	2	1	NA	NA	2	NA	2	1	9	NA	1	2	NA	1	2	2	1	2	2	1	2	2	NA	23176.790531	24820.797478	1	98	3	3	0.81	2	2	0	0	1	2	80	2	1	2	NA
62370	7	2	1	21	NA	5	6	2	NA	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	13843.66558	14262.333267	1	90	15	15	3.7	5	5	0	0	0	1	54	NA	NA	1	NA
62371	7	2	1	32	NA	5	6	1	NA	NA	2	NA	2	2	3	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	22403.911395	23863.238542	2	96	14	14	5	2	2	0	0	0	2	33	2	5	1	5
62373	7	2	1	46	NA	1	1	1	NA	NA	2	NA	2	2	7	NA	1	1	NA	2	2	2	1	2	2	1	2	2	NA	37324.655911	36776.974122	1	102	6	6	1.34	4	4	0	1	0	2	48	2	3	1	1
62374	7	2	2	31	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	3	2	1	2	2	1	2	2	NA	NA	NA	NA	31335.13799	33530.36206	1	101	4	4	0.78	4	4	1	2	0	2	31	1	4	3	NA
62375	7	2	1	24	NA	1	1	1	NA	NA	2	NA	2	2	99	NA	3	6	NA	1	2	2	1	2	2	1	2	2	1	52698.05363	59566.360508	3	92	4	4	0.65	4	4	2	0	0	2	20	1	3	5	NA
62377	7	2	2	78	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	2	2	NA	1	2	2	1	2	2	1	2	2	NA	35965.834545	38220.111719	1	95	3	3	1.24	1	1	0	0	1	2	78	1	2	2	NA
62378	7	2	2	68	NA	2	2	2	NA	NA	2	NA	2	1	8	NA	1	3	NA	2	2	2	1	2	2	2	2	2	2	10979.149658	11879.480817	1	96	15	8	4.66	2	1	0	0	2	2	68	2	1	3	NA
62379	7	2	1	40	NA	5	7	1	NA	NA	2	NA	2	1	5	NA	5	5	NA	1	2	2	1	2	2	NA	NA	NA	NA	24837.95225	25237.159887	1	102	10	10	3.22	4	4	0	0	2	2	29	2	5	5	NA
62383	7	2	1	23	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	91704.59836	93129.802737	1	93	15	4	1.38	6	1	0	0	0	1	23	1	5	5	NA
62386	7	2	1	35	NA	5	7	2	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	21163.049914	22845.160537	1	97	8	8	2.51	3	3	0	1	0	1	35	1	3	1	4
62387	7	2	1	23	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	17420.978407	17597.975048	2	97	3	3	1.29	1	1	0	0	0	1	23	1	3	5	NA
62388	7	2	2	69	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	49644.076348	54110.530387	1	97	3	3	1.12	1	1	0	0	1	2	69	1	3	2	NA
62391	7	2	2	40	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	3	1	2	1	2	2	1	2	2	1	2	2	1	34954.173075	36222.975959	2	98	15	15	5	3	3	0	1	0	1	38	1	4	1	3
